repo_full_name,stars,forks,language_id,source_id
codecrafters-io/build-your-own-x,473965,44418,1.0,2
public-apis/public-apis,406253,43870,2.0,2
jwasham/coding-interview-university,337815,81639,,2
awesome-selfhosted/awesome-selfhosted,279219,12803,,2
trimstray/the-book-of-secret-knowledge,209542,12577,,2
avelino/awesome-go,167095,13039,3.0,2
goldbergyoni/nodebestpractices,105168,10686,4.0,2
jaywcjlove/awesome-mac,99783,7463,5.0,2
rasbt/LLMs-from-scratch,87624,13330,6.0,2
punkpeye/awesome-mcp-servers,82698,8030,,2
modelcontextprotocol/servers,80736,9845,7.0,2
sdmg15/Best-websites-a-programmer-should-visit,75833,8569,,2
josephmisiti/awesome-machine-learning,71927,15331,2.0,2
fffaraz/awesome-cpp,70122,8246,,2
binhnguyennus/awesome-scalability,69273,6875,,2
prakhar1989/awesome-courses,66952,8333,,2
tiimgreen/github-cheat-sheet,55582,5401,,2
charlax/professional-programming,50647,3975,2.0,2
poteto/hiring-without-whiteboards,50479,3880,5.0,2
sudheerj/reactjs-interview-questions,44339,10299,5.0,2
9001/copyparty,43282,1763,2.0,2
karanpratapsingh/system-design,41484,5246,,2
open-guides/og-aws,36591,3910,13.0,2
VoltAgent/awesome-openclaw-skills,34426,3261,,2
linexjlin/GPTs,31979,4419,,2
sindresorhus/awesome,444430,33481,,2
donnemartin/system-design-primer,338374,54806,2.0,2
vinta/awesome-python,286597,27346,2.0,2
practical-tutorials/project-based-learning,260754,33945,,2
vuejs/vue,210038,33864,7.0,2
Significant-Gravitas/AutoGPT,182336,46210,2.0,2
ollama/ollama,164770,14874,3.0,2
jlevy/the-art-of-command-line,160296,14778,,2
langflow-ai/langflow,145497,8541,2.0,2
open-webui/open-webui,126579,17912,2.0,2
kubernetes/kubernetes,121104,42638,3.0,2
ripienaar/free-for-dev,119425,12340,22.0,2
fatedier/frp,105084,14933,3.0,2
supabase/supabase,98875,11757,7.0,2
fastapi/fastapi,96126,8815,2.0,2
MunGell/awesome-for-beginners,83352,7783,,2
bregman-arie/devops-exercises,81453,18830,2.0,2
thedaviddias/Front-End-Checklist,72342,6625,,2
enaqx/awesome-react,72307,7519,,2
dkhamsing/open-source-ios-apps,49178,5734,,2
GitHubDaily/GitHubDaily,45552,4576,,2
sorrycc/awesome-javascript,34920,4525,,2
ziadoz/awesome-php,32415,5141,,2
dwmkerr/hacker-laws,27015,1560,22.0,2
koodo-reader/koodo-reader,26226,1937,5.0,2
Igglybuff/awesome-piracy,26097,2234,22.0,2
matteocrippa/awesome-swift,25945,3113,30.0,2
koreader/koreader,25709,1643,31.0,2
luong-komorebi/Awesome-Linux-Software,24939,2181,22.0,2
kovidgoyal/calibre,24325,2565,2.0,2
thangchung/awesome-dotnet-core,21119,2954,34.0,2
dariubs/GoBooks,19234,2250,3.0,2
ossu/computer-science,202350,25125,22.0,2
netdata/netdata,78018,6367,37.0,2
mlabonne/llm-course,76333,8800,,2
Solido/awesome-flutter,59226,6865,38.0,2
rust-unofficial/awesome-rust,56093,3214,39.0,2
vsouza/awesome-ios,51503,6959,40.0,2
akullpp/awesome-java,47259,7642,,2
DovAmir/awesome-design-patterns,46349,3219,,2
ComposioHQ/awesome-claude-skills,42672,4252,2.0,2
