book_id,title,author_id,category_id,publication_year,source_id,collected_at
1,Cairo Trilogy,1,1,1956,1,2026-03-10 20:08:13
2,The Days,2,2,1929,1,2026-03-10 20:08:13
3,Woman at Point Zero,3,1,1975,1,2026-03-10 20:08:13
4,The Yacoubian Building,4,1,2002,1,2026-03-10 20:08:13
5,The Map of Love,5,1,1999,1,2026-03-10 20:08:13
6,Palace Walk,1,1,1956,1,2026-03-10 20:08:13
7,Children of Gebelawi,1,1,1959,1,2026-03-10 20:08:13
8,God Dies by the Nile,3,1,1974,1,2026-03-10 20:08:13
9,New Book 1,1,1,2024,1,2026-03-10 20:08:13
10,New Book 2,2,2,2024,1,2026-03-10 20:08:13
