web_book_id,title,price,rating,category_id,source_id
1,It's Only the Himalayas,45.17,2,11,3
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,11,3
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,11,3
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,11,3
5,Under the Tuscan Sun,37.33,3,11,3
6,A Summer In Europe,44.34,2,11,3
7,The Great Railway Bazaar,30.54,1,11,3
8,A Year in Provence (Provence #1),56.88,4,11,3
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,11,3
10,Neither Here nor There: Travels in Europe,38.95,3,11,3
11,"1,000 Places to See Before You Die",26.08,5,11,3
12,Sharp Objects,47.82,4,12,3
13,"In a Dark, Dark Wood",19.63,1,12,3
14,The Past Never Ends,56.5,4,12,3
15,A Murder in Time,16.64,1,12,3
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,12,3
17,The Last Mile (Amos Decker #2),54.21,2,12,3
18,That Darkness (Gardiner and Renner #1),13.92,1,12,3
19,Tastes Like Fear (DI Marnie Rome #3),10.69,1,12,3
20,A Time of Torment (Charlie Parker #14),48.35,5,12,3
21,A Study in Scarlet (Sherlock Holmes #1),16.73,2,12,3
22,Poisonous (Max Revere Novels #3),26.8,3,12,3
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,12,3
24,Most Wanted,35.28,3,12,3
25,Hide Away (Eve Duncan #20),11.84,1,12,3
26,Boar Island (Anna Pigeon #19),59.48,3,12,3
27,The Widow,27.26,2,12,3
28,Playing with Fire,13.71,3,12,3
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,12,3
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,12,3
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,12,3
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,12,3
33,In the Woods (Dublin Murder Squad #1),38.38,2,12,3
34,The Silkworm (Cormoran Strike #2),23.05,5,12,3
35,The Exiled,43.45,3,12,3
36,The Cuckoo's Calling (Cormoran Strike #1),19.21,1,12,3
37,Extreme Prey (Lucas Davenport #26),25.4,3,12,3
38,Career of Evil (Cormoran Strike #3),24.72,2,12,3
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,12,3
40,The Girl You Lost,12.29,5,12,3
41,The Girl In The Ice (DCI Erika Foster #1),15.85,3,12,3
42,Blood Defense (Samantha Brinkman #1),20.3,3,12,3
43,1st to Die (Women's Murder Club #1),53.98,1,12,3
44,Tipping the Velvet,53.74,1,13,3
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,13,3
46,A Flight of Arrows (The Pathfinders #2),55.53,5,13,3
47,The House by the Lake,36.95,1,13,3
48,Mrs. Houdini,30.25,5,13,3
49,The Marriage of Opposites,28.08,4,13,3
50,Glory over Everything: Beyond The Kitchen House,45.84,3,13,3
51,"Love, Lies and Spies",20.55,2,13,3
52,A Paris Apartment,39.01,4,13,3
53,Lilac Girls,17.28,2,13,3
54,The Constant Princess (The Tudor Court #1),16.62,3,13,3
55,The Invention of Wings,37.34,1,13,3
56,World Without End (The Pillars of the Earth #2),32.97,4,13,3
57,The Passion of Dolssa,28.32,5,13,3
58,Girl With a Pearl Earring,26.77,1,13,3
59,Voyager (Outlander #3),21.07,5,13,3
60,The Red Tent,35.66,5,13,3
61,The Last Painting of Sara de Vos,55.55,2,13,3
62,The Guernsey Literary and Potato Peel Pie Society,49.53,1,13,3
63,Girl in the Blue Coat,46.83,2,13,3
64,Between Shades of Gray,20.79,5,13,3
65,While You Were Mine,41.32,5,13,3
66,The Secret Healer,34.56,3,13,3
67,Starlark,25.83,3,13,3
68,Lost Among the Living,27.7,4,13,3
69,A Spy's Devotion (The Regency Spies of London #1),16.97,5,13,3
70,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,14,3
71,Join,35.67,5,14,3
72,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,14,3
73,The Project,10.65,1,14,3
74,Soft Apocalypse,26.12,2,14,3
75,Sleeping Giants (Themis Files #1),48.74,1,14,3
76,Arena,21.36,4,14,3
77,Foundation (Foundation (Publication Order) #1),32.42,1,14,3
78,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,14,3
79,Ready Player One,19.07,4,14,3
80,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,14,3
81,Dune (Dune #1),54.86,1,14,3
82,Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,14,3
83,Three Wishes (River of Time: California #1),44.18,2,14,3
84,The Last Girl (The Dominion Trilogy #1),36.26,2,14,3
85,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,14,3
86,Soumission,50.1,1,1,3
87,Private Paris (Private #10),47.61,5,1,3
88,"We Love You, Charlie Freeman",50.27,5,1,3
89,Thirst,17.27,5,1,3
90,The Murder That Never Was (Forensic Instincts #5),54.11,3,1,3
91,Tuesday Nights in 1980,21.04,2,1,3
92,The Vacationers,42.15,4,1,3
93,The Regional Office Is Under Attack!,51.36,5,1,3
94,Finders Keepers (Bill Hodges Trilogy #2),53.53,5,1,3
95,The Time Keeper,27.88,5,1,3
96,The Testament of Mary,52.67,4,1,3
97,The First Hostage (J.B. Collins #2),25.85,3,1,3
98,Take Me with You,45.21,3,1,3
99,Still Life with Bread Crumbs,26.41,3,1,3
100,Shtum,55.84,4,1,3
101,My Name Is Lucy Barton,41.56,1,1,3
102,My Mrs. Brown,24.48,3,1,3
103,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,1,3
104,I Am Pilgrim (Pilgrim #1),10.6,4,1,3
105,Eligible (The Austen Project #4),27.09,3,1,3
106,Eight Hundred Grapes,14.39,4,1,3
107,Dear Mr. Knightley,11.21,5,1,3
108,Cometh the Hour (The Clifton Chronicles #6),25.01,3,1,3
109,Balloon Animals,17.03,3,1,3
110,A Man Called Ove,39.72,1,1,3
111,The Silent Sister (Riley MacPherson #1),46.29,5,1,3
112,The Dinner Party,56.54,2,1,3
113,The Improbability of Love,59.45,1,1,3
114,Mothering Sunday,13.34,2,1,3
115,Lies and Other Acts of Love,45.14,1,1,3
116,Daredevils,16.34,3,1,3
117,11/22/63,48.48,3,1,3
118,The Shack,28.03,1,1,3
119,The High Mountains of Portugal,51.15,1,1,3
120,Miller's Valley,58.54,2,1,3
121,Hystopia: A Novel,21.96,4,1,3
122,The Bourne Identity (Jason Bourne #1),42.78,4,1,3
123,Sister Dear,40.2,4,1,3
124,Memoirs of a Geisha,49.67,3,1,3
125,Me Before You (Me Before You #1),19.02,1,1,3
126,The Secret Garden,15.08,4,16,3
127,The Metamorphosis,28.58,1,16,3
128,The Pilgrim's Progress,50.26,2,16,3
129,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,16,3
130,Little Women (Little Women #1),28.07,4,16,3
131,Gone with the Wind,32.49,3,16,3
132,Candide,58.63,3,16,3
133,Animal Farm,57.22,3,16,3
134,Wuthering Heights,17.73,3,16,3
135,The Picture of Dorian Gray,29.7,2,16,3
136,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,16,3
137,Beowulf,38.35,2,16,3
138,And Then There Were None,35.01,2,16,3
139,The Story of Hong Gildong,43.19,4,16,3
140,The Little Prince,45.42,2,16,3
141,Sense and Sensibility,37.46,1,16,3
142,Of Mice and Men,47.11,2,16,3
143,Emma,32.93,2,16,3
144,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1,16,3
145,Chase Me (Paris Nights #2),25.27,5,17,3
146,Black Dust,34.53,5,17,3
147,Her Backup Boyfriend (The Sorensen Family #1),33.97,1,17,3
148,First and First (Five Boroughs #3),15.97,4,17,3
149,Fifty Shades Darker (Fifty Shades #2),21.96,1,17,3
150,The Wedding Dress,24.12,1,17,3
151,Suddenly in Love (Lake Haven #1),55.99,2,17,3
152,Something More Than This,16.24,4,17,3
