name,full_name,language,stargazers_count,forks_count,open_issues_count,created_at,updated_at,html_url
1590A,torvalds/1590A,OpenSCAD,546,21,0,2025-03-01T04:36:29Z,2026-02-28T15:22:30Z,https://github.com/torvalds/1590A
AudioNoise,torvalds/AudioNoise,C,4272,200,31,2026-01-09T02:33:29Z,2026-03-06T03:31:20Z,https://github.com/torvalds/AudioNoise
GuitarPedal,torvalds/GuitarPedal,C,1800,63,0,2025-09-17T01:01:29Z,2026-03-06T06:53:45Z,https://github.com/torvalds/GuitarPedal
HunspellColorize,torvalds/HunspellColorize,C,310,12,3,2026-01-18T19:57:03Z,2026-03-01T07:44:33Z,https://github.com/torvalds/HunspellColorize
libdc-for-dirk,torvalds/libdc-for-dirk,C,375,51,1,2017-01-17T00:25:49Z,2026-03-01T07:49:24Z,https://github.com/torvalds/libdc-for-dirk
libgit2,torvalds/libgit2,C,341,27,1,2022-07-30T03:30:56Z,2026-03-06T02:20:41Z,https://github.com/torvalds/libgit2
linux,torvalds/linux,C,221124,60796,3,2011-09-04T22:48:12Z,2026-03-06T11:06:17Z,https://github.com/torvalds/linux
pesconvert,torvalds/pesconvert,C,550,74,6,2017-12-04T21:58:56Z,2026-03-01T07:56:54Z,https://github.com/torvalds/pesconvert
subsurface-for-dirk,torvalds/subsurface-for-dirk,C++,438,67,2,2017-01-11T18:03:01Z,2026-03-05T16:57:41Z,https://github.com/torvalds/subsurface-for-dirk
test-tlb,torvalds/test-tlb,C,951,215,13,2017-03-24T20:06:37Z,2026-03-04T07:50:51Z,https://github.com/torvalds/test-tlb
uemacs,torvalds/uemacs,C,1922,300,11,2018-01-17T22:32:21Z,2026-03-05T22:20:18Z,https://github.com/torvalds/uemacs
