title,price,rating,availability,category
Sharp Objects,47.82,4,In stock,Mystery
"In a Dark, Dark Wood",19.63,1,In stock,Mystery
The Past Never Ends,56.5,4,In stock,Mystery
A Murder in Time,16.64,1,In stock,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,Mystery
The Last Mile (Amos Decker #2),54.21,2,In stock,Mystery
That Darkness (Gardiner and Renner #1),13.92,1,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,Mystery
A Time of Torment (Charlie Parker #14),48.35,5,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,Mystery
Poisonous (Max Revere Novels #3),26.8,3,In stock,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,In stock,Mystery
Most Wanted,35.28,3,In stock,Mystery
Hide Away (Eve Duncan #20),11.84,1,In stock,Mystery
Boar Island (Anna Pigeon #19),59.48,3,In stock,Mystery
The Widow,27.26,2,In stock,Mystery
Playing with Fire,13.71,3,In stock,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,In stock,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,In stock,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,In stock,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,In stock,Mystery
In the Woods (Dublin Murder Squad #1),38.38,2,In stock,Mystery
The Silkworm (Cormoran Strike #2),23.05,5,In stock,Mystery
The Exiled,43.45,3,In stock,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,In stock,Mystery
Extreme Prey (Lucas Davenport #26),25.4,3,In stock,Mystery
Career of Evil (Cormoran Strike #3),24.72,2,In stock,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,In stock,Mystery
The Girl You Lost,12.29,5,In stock,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,3,In stock,Mystery
Blood Defense (Samantha Brinkman #1),20.3,3,In stock,Mystery
1st to Die (Women's Murder Club #1),53.98,1,In stock,Mystery
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,Science Fiction
Join,35.67,5,In stock,Science Fiction
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,In stock,Science Fiction
The Project,10.65,1,In stock,Science Fiction
Soft Apocalypse,26.12,2,In stock,Science Fiction
Sleeping Giants (Themis Files #1),48.74,1,In stock,Science Fiction
Arena,21.36,4,In stock,Science Fiction
Foundation (Foundation (Publication Order) #1),32.42,1,In stock,Science Fiction
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,In stock,Science Fiction
Ready Player One,19.07,4,In stock,Science Fiction
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,In stock,Science Fiction
Dune (Dune #1),54.86,1,In stock,Science Fiction
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,In stock,Science Fiction
Three Wishes (River of Time: California #1),44.18,2,In stock,Science Fiction
The Last Girl (The Dominion Trilogy #1),36.26,2,In stock,Science Fiction
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,In stock,Science Fiction
Unicorn Tracks,18.78,3,In stock,Fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,Fantasy
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,Fantasy
Masks and Shadows,56.4,2,In stock,Fantasy
Crown of Midnight (Throne of Glass #2),43.29,3,In stock,Fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,In stock,Fantasy
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,In stock,Fantasy
Throne of Glass (Throne of Glass #1),35.07,3,In stock,Fantasy
The Glittering Court (The Glittering Court #1),44.28,1,In stock,Fantasy
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,In stock,Fantasy
The Star-Touched Queen,46.02,5,In stock,Fantasy
The Hidden Oracle (The Trials of Apollo #1),52.26,2,In stock,Fantasy
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,In stock,Fantasy
Island of Dragons (Unwanteds #7),29.65,1,In stock,Fantasy
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,In stock,Fantasy
City of Glass (The Mortal Instruments #3),56.02,4,In stock,Fantasy
Searching for Meaning in Gailana,38.73,1,In stock,Fantasy
A Shard of Ice (The Black Symphony Saga #1),56.63,3,In stock,Fantasy
King's Folly (The Kinsman Chronicles #1),39.61,5,In stock,Fantasy
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,In stock,Fantasy
A Gathering of Shadows (Shades of Magic #2),44.81,4,In stock,Fantasy
The Raven Boys (The Raven Cycle #1),57.74,4,In stock,Fantasy
The False Prince (The Ascendance Trilogy #1),56.0,5,In stock,Fantasy
Tell the Wind and Fire,45.51,3,In stock,Fantasy
A Feast for Crows (A Song of Ice and Fire #4),17.21,4,In stock,Fantasy
The Demonists (Demonist #1),52.11,2,In stock,Fantasy
The Beast (Black Dagger Brotherhood #14),46.08,5,In stock,Fantasy
Paper and Fire (The Great Library #2),49.45,5,In stock,Fantasy
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4,In stock,Fantasy
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5,In stock,Fantasy
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,1,In stock,Fantasy
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,4,In stock,Fantasy
Soldier (Talon #3),24.72,2,In stock,Fantasy
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,2,In stock,Fantasy
Heir to the Sky,44.07,4,In stock,Fantasy
Eragon (The Inheritance Cycle #1),43.87,3,In stock,Fantasy
Darkfever (Fever #1),56.02,1,In stock,Fantasy
Ash,22.06,4,In stock,Fantasy
A Storm of Swords (A Song of Ice and Fire #3),31.22,2,In stock,Fantasy
Vampire Girl (Vampire Girl #1),53.82,2,In stock,Fantasy
The Silent Twin (Detective Jennifer Knight #3),36.25,3,In stock,Fantasy
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,1,In stock,Fantasy
Sister Sable (The Mad Queen #1),13.33,3,In stock,Fantasy
Shadow Rites (Jane Yellowrock #10),21.72,4,In stock,Fantasy
Origins (Alphas 0.5),28.99,1,In stock,Fantasy
One Second (Seven #7),52.94,2,In stock,Fantasy
Myriad (Prentor #1),58.75,4,In stock,Fantasy
