title,price,rating,category
Soumission,50.1,1,Fiction
Private Paris (Private #10),47.61,5,Fiction
"We Love You, Charlie Freeman",50.27,5,Fiction
Thirst,17.27,5,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11,3,Fiction
Tuesday Nights in 1980,21.04,2,Fiction
The Vacationers,42.15,4,Fiction
The Regional Office Is Under Attack!,51.36,5,Fiction
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Fiction
The Time Keeper,27.88,5,Fiction
The Testament of Mary,52.67,4,Fiction
The First Hostage (J.B. Collins #2),25.85,3,Fiction
Take Me with You,45.21,3,Fiction
Still Life with Bread Crumbs,26.41,3,Fiction
Shtum,55.84,4,Fiction
My Name Is Lucy Barton,41.56,1,Fiction
My Mrs. Brown,24.48,3,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,Fiction
I Am Pilgrim (Pilgrim #1),10.6,4,Fiction
Eligible (The Austen Project #4),27.09,3,Fiction
Eight Hundred Grapes,14.39,4,Fiction
Dear Mr. Knightley,11.21,5,Fiction
Cometh the Hour (The Clifton Chronicles #6),25.01,3,Fiction
Balloon Animals,17.03,3,Fiction
A Man Called Ove,39.72,1,Fiction
The Silent Sister (Riley MacPherson #1),46.29,5,Fiction
The Dinner Party,56.54,2,Fiction
The Improbability of Love,59.45,1,Fiction
Mothering Sunday,13.34,2,Fiction
Lies and Other Acts of Love,45.14,1,Fiction
Daredevils,16.34,3,Fiction
11/22/63,48.48,3,Fiction
The Shack,28.03,1,Fiction
The High Mountains of Portugal,51.15,1,Fiction
Miller's Valley,58.54,2,Fiction
Hystopia: A Novel,21.96,4,Fiction
The Bourne Identity (Jason Bourne #1),42.78,4,Fiction
Sister Dear,40.2,4,Fiction
Memoirs of a Geisha,49.67,3,Fiction
Me Before You (Me Before You #1),19.02,1,Fiction
Sharp Objects,47.82,4,Mystery
"In a Dark, Dark Wood",19.63,1,Mystery
The Past Never Ends,56.5,4,Mystery
A Murder in Time,16.64,1,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery
The Last Mile (Amos Decker #2),54.21,2,Mystery
That Darkness (Gardiner and Renner #1),13.92,1,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Mystery
A Time of Torment (Charlie Parker #14),48.35,5,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,Mystery
Poisonous (Max Revere Novels #3),26.8,3,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Mystery
Most Wanted,35.28,3,Mystery
Hide Away (Eve Duncan #20),11.84,1,Mystery
Boar Island (Anna Pigeon #19),59.48,3,Mystery
The Widow,27.26,2,Mystery
Playing with Fire,13.71,3,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,Mystery
In the Woods (Dublin Murder Squad #1),38.38,2,Mystery
The Silkworm (Cormoran Strike #2),23.05,5,Mystery
The Exiled,43.45,3,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,Mystery
Extreme Prey (Lucas Davenport #26),25.4,3,Mystery
Career of Evil (Cormoran Strike #3),24.72,2,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,Mystery
The Girl You Lost,12.29,5,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,3,Mystery
Blood Defense (Samantha Brinkman #1),20.3,3,Mystery
1st to Die (Women's Murder Club #1),53.98,1,Mystery
Tipping the Velvet,53.74,1,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,5,Historical Fiction
The House by the Lake,36.95,1,Historical Fiction
Mrs. Houdini,30.25,5,Historical Fiction
The Marriage of Opposites,28.08,4,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,3,Historical Fiction
"Love, Lies and Spies",20.55,2,Historical Fiction
A Paris Apartment,39.01,4,Historical Fiction
Lilac Girls,17.28,2,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,3,Historical Fiction
The Invention of Wings,37.34,1,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,4,Historical Fiction
The Passion of Dolssa,28.32,5,Historical Fiction
Girl With a Pearl Earring,26.77,1,Historical Fiction
Voyager (Outlander #3),21.07,5,Historical Fiction
The Red Tent,35.66,5,Historical Fiction
The Last Painting of Sara de Vos,55.55,2,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,1,Historical Fiction
Girl in the Blue Coat,46.83,2,Historical Fiction
Between Shades of Gray,20.79,5,Historical Fiction
While You Were Mine,41.32,5,Historical Fiction
The Secret Healer,34.56,3,Historical Fiction
Starlark,25.83,3,Historical Fiction
Lost Among the Living,27.7,4,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,5,Historical Fiction
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Science Fiction
Join,35.67,5,Science Fiction
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,Science Fiction
The Project,10.65,1,Science Fiction
Soft Apocalypse,26.12,2,Science Fiction
Sleeping Giants (Themis Files #1),48.74,1,Science Fiction
Arena,21.36,4,Science Fiction
Foundation (Foundation (Publication Order) #1),32.42,1,Science Fiction
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,Science Fiction
Ready Player One,19.07,4,Science Fiction
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,Science Fiction
Dune (Dune #1),54.86,1,Science Fiction
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,Science Fiction
Three Wishes (River of Time: California #1),44.18,2,Science Fiction
The Last Girl (The Dominion Trilogy #1),36.26,2,Science Fiction
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,Science Fiction
